Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound8985,6.722993767,6.650155722,6.47364736,6.660109241,6.542511957,6.508931044,6.663019318,6.442964497,6.576774996,6.545512793,6.478740586,6.652911622,6.572394118,6.554885675,6.664015924,6.646621048,6.465717713,6.706030419,6.506934003,6.637663143,6.7167975,6.44929968,6.620935419,6.742253025,6.448642872,6.420925999
Compound9613,5.737702402,5.603630354,5.544601692,5.657910528,5.517611702,5.498848466,5.639655264,5.610130569,5.739627676,5.595587659,5.695846471,5.697376402,5.5910961,5.602063904,5.570981976,5.551576504,5.588180049,5.493910951,5.557421939,5.596899098,5.571636033,5.455477015,5.58089319,5.498170206,5.530888051,5.456915191
Compound9813,5.629298157,5.570705284,5.585725753,5.380971211,5.600474706,5.6620652,5.305318343,5.662691058,5.781608018,5.533148888,5.724370665,5.733012476,5.593145624,5.417476339,5.604924076,5.216334064,5.503695431,5.536273878,5.705678546,5.446711531,5.592208511,5.690669252,5.653705048,5.443787047,5.643035134,5.531045401
Compound1433,6.851994182,7.034182142,7.152765569,6.993432614,7.376409732,7.233904122,7.146103658,7.290620295,7.05543873,7.288480778,6.997722697,7.057844682,6.788803202,6.244136658,7.074690024,7.102637459,7.242673445,7.280884295,7.036785528,7.126824674,6.607095986,7.284885451,7.168470502,6.866838962,7.128673601,7.927605382
Compound1940,7.430167946,7.284110218,6.878300602,7.256470531,7.289764152,7.224212842,7.352799794,7.261491839,7.276997793,7.316018739,7.245866233,7.28396382,7.391810676,7.67578484,7.389595337,7.104857825,7.134778698,7.289082052,7.408578917,7.189431307,7.076497781,7.241251355,7.056932059,7.256829156,7.168359246,6.755760952
Compound2237,6.990311369,6.8806819,6.786189836,6.835590271,6.96510741,6.858999395,6.970967952,6.957142453,7.079369186,6.933721254,6.999746113,7.018702527,6.323077464,6.971177229,6.677835762,6.936973183,6.954087603,7.455576204,6.820842514,7.106739558,6.99039855,6.890707073,6.85618209,6.762224379,7.045818847,7.201071766
Compound8311,6.820201638,6.721322942,6.74918274,6.700630455,6.761017473,6.736064904,6.707581347,6.904835082,6.812254441,6.762196128,6.290316025,6.804154676,6.579507285,6.76644655,6.668494344,6.877871103,6.759152155,6.77916319,6.741127596,6.70320643,6.698901017,6.743201776,6.77883976,6.727492379,6.639939921,6.707325407
Compound9086,6.641553323,6.627914143,6.486802629,6.680794186,6.735055471,6.739887361,6.609850992,6.684158881,6.728950244,6.613021783,6.739489486,6.471345724,6.714230086,6.641294836,6.6152152,6.717727626,6.73756455,6.828428096,6.644843311,6.710600223,6.697805058,6.702053359,6.599838211,6.363790215,6.376801407,6.761757644
Compound1600,7.542431237,7.688168549,7.24859241,7.059969629,7.122298608,7.007959306,7.639713344,7.585152575,7.615034096,7.63715415,7.768527796,7.821043626,7.706740216,7.557782437,7.560631115,7.779541356,7.740664351,7.609515738,7.719352003,7.677049206,7.544472575,7.735156946,7.680296246,7.513370945,7.608365984,7.560024465
Compound2806,7.621588356,7.655161029,7.519864314,7.501149873,7.675200731,7.661315342,7.207395422,7.055732496,7.509717226,7.519985248,7.440351502,7.671960736,7.634704606,7.675670424,7.605010995,7.540196199,7.550597994,7.402928738,7.670565114,7.801455159,7.481403378,7.789157959,7.55837092,6.912323099,7.512000528,7.169208012
